pinyin_id,title,pinyin
1087,㥼,yin
1088,㥽,ce
1089,㥾,ni
1090,㥿,ao
1091,㦀,feng
1092,㦁,lian
1093,㦂,chang
1094,㦃,chan
1095,㦄,ma
1096,㦅,die
1097,㦇,lu
1098,㦉,yi
1099,㦊,hua
1100,㦌,tui
1101,㦍,e
1102,㦎,hua
1103,㦏,sun
1104,㦐,ni
1105,㦑,lian
1106,㦒,li
1107,㦓,xian
1108,㦔,yan
1109,㦕,long
1110,㦖,men
1111,㦗,jian
1112,㦚,bian
1113,㦛,yu
1114,㦜,huo
1115,㦝,miao
1116,㦞,chou
1117,㦟,hai
1118,㦡,le
1119,㦢,jie
1120,㦣,wei
1121,㦤,yi
1122,㦥,huan
1123,㦦,he
1124,㦧,can
1125,㦨,lan
1126,㦩,yin
1127,㦪,xie
1128,㦬,luo
1129,㦭,ling
1130,㦮,qian
1131,㦯,huo
1132,㦰,jian
1133,㦱,wo
1134,㦲,zai
1135,㦴,ge
1136,㦶,die
1137,㦷,yong
1138,㦸,ji
1139,㦹,ang
1140,㦺,ru
1141,㦻,xi
1142,㦼,shuang
1143,㦽,xu
1144,㦾,yi
1145,㦿,hu
1146,㧀,ji
1147,㧁,qu
1148,㧂,tian
1149,㧄,qian
1150,㧅,mu
1151,㧇,mao
1152,㧈,yin
1153,㧉,gai
1154,㧊,ba
1155,㧋,xian
1156,㧌,mao
1157,㧍,fang
1158,㧎,ya
1159,㧏,gang
1160,㧐,song
1161,㧑,wei
1162,㧒,xue
1163,㧔,guai
1164,㧕,jiu
1165,㧖,e
1166,㧗,zi
1167,㧘,cui
1168,㧙,bi
1169,㧚,wa
1170,㧜,lie
1171,㧟,kuai
1172,㧡,hai
1173,㧢,yin
1174,㧣,zhu
1175,㧤,chong
1176,㧥,xian
1177,㧦,xuan
1178,㧨,qiu
1179,㧩,pei
1180,㧪,gui
1181,㧫,er
1182,㧬,gong
1183,㧭,qiong
1184,㧯,lao
1185,㧰,li
1186,㧱,chen
1187,㧲,san
1188,㧳,bai
1189,㧴,wo
1190,㧵,pou
1191,㧷,duo
1192,㧹,te
1193,㧺,ta
1194,㧻,zhi
1195,㧼,biao
1196,㧽,gu
1197,㨀,bing
1198,㨁,zhi
1199,㨂,dong
1200,㨃,cheng
1201,㨄,zhao
1202,㨅,nei
1203,㨆,lin
1204,㨇,po
1205,㨈,ji
1206,㨉,min
1207,㨊,wei
1208,㨋,che
1209,㨌,gou
1210,㨎,ru
1211,㨐,bu
1212,㨒,kui
1213,㨓,lao
1214,㨔,han
1215,㨕,ying
1216,㨖,zhi
1217,㨗,jie
1218,㨘,xing
1219,㨙,xie
1220,㨚,xun
1221,㨛,shan
1222,㨜,qian
1223,㨝,xie
1224,㨞,su
1225,㨟,hai
1226,㨠,mi
1227,㨡,hun
1228,㨤,hui
1229,㨥,na
1230,㨦,song
1231,㨧,ben
1232,㨨,liu
1233,㨩,jie
1234,㨪,huang
1235,㨫,lan
1236,㨭,hu
1237,㨮,dou
1238,㨯,huo
1239,㨰,ge
1240,㨱,yao
1241,㨲,ce
1242,㨳,gui
1243,㨴,jian
1244,㨵,jian
1245,㨶,chou
1246,㨷,jin
1247,㨸,ma
1248,㨹,hui
1249,㨺,men
1250,㨻,can
1251,㨼,lue
1252,㨽,pi
1253,㨾,yang
1254,㨿,ju
1255,㩀,ju
1256,㩁,que
1257,㩃,qian
1258,㩄,shai
1259,㩅,chou
1260,㩆,jiu
1261,㩇,hua
1262,㩈,xian
1263,㩉,xie
1264,㩋,su
1265,㩌,fei
1266,㩍,ce
1267,㩎,ye
1268,㩐,den
1269,㩒,qin
1270,㩓,hui
1271,㩔,tun
1272,㩖,qiang
1273,㩗,xi
1274,㩘,yi
1275,㩚,meng
1276,㩛,tuan
1277,㩜,lan
1278,㩝,hao
1279,㩞,ci
1280,㩟,zhai
1281,㩠,piao
1282,㩡,luo
1283,㩢,mi
1284,㩦,xie
1285,㩧,bo
1286,㩨,hui
1287,㩩,qi
1288,㩪,xie
1289,㩭,bo
1290,㩮,qian
1291,㩯,ban
1292,㩰,jiao
1293,㩱,jue
1294,㩲,kun
1295,㩳,song
1296,㩴,ju
1297,㩵,e
1298,㩶,nie
1299,㩸,die
1300,㩹,die
1301,㩻,gui
1302,㩼,zhi
1303,㩽,qi
1304,㩾,chui
1305,㪀,yu
1306,㪁,qin
1307,㪃,he
1308,㪄,fu
1309,㪆,di
1310,㪇,xian
1311,㪈,gui
1312,㪉,he
1313,㪊,qun
1314,㪋,han
1315,㪌,tong
1316,㪍,bo
1317,㪎,shan
1318,㪏,bi
1319,㪐,lu
1320,㪑,ye
1321,㪒,ni
1322,㪓,chuai
1323,㪔,san
1324,㪕,diao
1325,㪖,lu
1326,㪗,tou
1327,㪘,lian
1328,㪙,ke
1329,㪚,san
1330,㪛,zhen
1331,㪜,chuai
1332,㪝,lian
1333,㪞,mao
1334,㪠,qian
1335,㪡,ke
1336,㪢,shao
1337,㪣,qiao
1338,㪤,bi
1339,㪥,zha
1340,㪦,yin
1341,㪨,shan
1342,㪩,su
1343,㪪,sa
1344,㪫,rui
1345,㪬,zhuo
1346,㪭,lu
1347,㪮,ling
1348,㪯,cha
1349,㪱,huan
1350,㪴,jia
1351,㪵,ban
1352,㪶,hu
1353,㪷,dou
1354,㪹,lou
1355,㪺,ju
1356,㪻,juan
1357,㪼,ke
1358,㪽,suo
1359,㪾,ge
1360,㪿,zhe
1361,㫀,ding
1362,㫁,duan
1363,㫂,zhu
1364,㫃,yan
1365,㫄,pang
1366,㫅,cha
1367,㫊,yi
1368,㫍,you
1369,㫎,gun
1370,㫏,yao
1371,㫐,yao
1372,㫑,shi
1373,㫒,gong
1374,㫓,qi
1375,㫔,gen
1376,㫖,zhi
1377,㫗,hou
1378,㫘,mi
1379,㫙,fu
1380,㫚,hu
1381,㫛,guang
1382,㫜,dan
1383,㫟,yan
1384,㫢,qu
1385,㫤,chang
1386,㫥,ming
1387,㫧,bao
1388,㫫,xian
1389,㫭,shi
1390,㫯,mao
1391,㫰,lang
1392,㫱,nan
1393,㫲,pei
1394,㫳,chen
1395,㫶,cou
1396,㫸,qie
1397,㫹,dai
1398,㫻,kun
1399,㫼,die
1400,㫽,lu
1401,㬂,yu
1402,㬃,tai
1403,㬄,chan
1404,㬅,man
1405,㬆,mian
1406,㬇,huan
1407,㬉,nuan
1408,㬊,huan
1409,㬋,hou
1410,㬌,jing
1411,㬍,bo
1412,㬎,xian
1413,㬏,li
1414,㬐,jin
1415,㬒,mang
1416,㬓,piao
1417,㬔,hao
1418,㬕,yang
1419,㬗,xian
1420,㬘,su
1421,㬙,wei
1422,㬚,che
1423,㬜,jin
1424,㬝,ceng
1425,㬞,he
1426,㬠,shai
1427,㬡,ling
1428,㬣,dui
1429,㬥,pu
1430,㬦,yue
1431,㬧,bo
1432,㬩,hui
1433,㬪,die
1434,㬫,yan
1435,㬬,ju
1436,㬭,jiao
1437,㬮,kuai
1438,㬯,lie
1439,㬰,yu
1440,㬱,ti
1441,㬳,wu
1442,㬴,hong
1443,㬵,xiao
1444,㬶,hao
1445,㬻,huang
1446,㬼,fu
1447,㬿,dun
1448,㭁,reng
1449,㭂,jiao
1450,㭄,xin
1451,㭇,yuan
1452,㭈,jue
1453,㭉,hua
1454,㭋,bang
1455,㭌,mou
1456,㭎,gang
1457,㭏,wei
1458,㭑,mei
1459,㭒,si
1460,㭓,bian
1461,㭔,lu
1462,㭕,qu
1463,㭘,he
1464,㭙,she
1465,㭛,pai
1466,㭜,rong
1467,㭝,qiu
1468,㭞,lie
1469,㭟,gong
1470,㭠,xian
1471,㭡,xi
1472,㭤,niao
1473,㭨,ye
1474,㭩,lei
1475,㭫,cuan
1476,㭬,zhuo
1477,㭭,fei
1478,㭮,zuo
1479,㭯,die
1480,㭰,ji
1481,㭱,he
1482,㭲,ji
1483,㭸,tu
1484,㭹,xian
1485,㭺,yan
1486,㭻,tang
1487,㭼,ta
1488,㭽,di
1489,㭾,jue
1490,㭿,ang
1491,㮀,han
1492,㮁,yao
1493,㮂,ju
1494,㮃,rui
1495,㮄,bang
